#Frame    NC1[native] NC1[nonnative] NC1[mindist] NC1[maxdist]
     342         1886            115       1.2563      60.6425
     343         1886            110       1.2514      59.5007
     344         1904            116       1.2607      59.7015
     345         1903            113       1.2254      59.7020
     346         1894            123       1.2632      60.5438
     347         1916            119       1.2687      59.8225
     348         1908            107       1.2278      59.8780
     349         1915            100       1.2681      61.0528
     350         1908            112       1.2512      61.4848
     351         1913            113       1.2809      58.7397
     352         1906            116       1.2558      60.9253
     353         1904            118       1.2681      61.3502
     354         1890            104       1.2629      60.3188
     355         1894            115       1.2638      61.3472
     356         1891            103       1.2751      61.1240
     357         1894            105       1.2643      62.9558
     358         1897            113       1.2790      62.2375
     359         1886            120       1.2703      59.9167
     360         1897            121       1.2543      59.4786
     361         1910            106       1.2626      59.0435
     362         1910            103       1.2411      61.3221
     363         1904            113       1.2663      61.9670
     364         1919            143       1.2542      60.8319
     365         1900            119       1.2482      60.2201
     366         1903            132       1.2724      59.8714
     367         1903            109       1.2751      60.0622
     368         1908            126       1.2550      61.8203
     369         1894            114       1.2651      61.9045
     370         1894            112       1.2699      61.4183
     371         1895            112       1.2604      59.6408
     372         1888            141       1.2756      60.9407
     373         1899            121       1.2747      58.8072
     374         1904            110       1.2558      59.4908
     375         1902            108       1.2717      58.6837
     376         1906            111       1.2565      60.0202
     377         1895            110       1.2627      59.6805
     378         1896            118       1.2634      59.8769
     379         1901            119       1.2608      59.0843
     380         1897            126       1.2469      58.9957
     381         1887            127       1.2451      60.1616
     382         1902            107       1.2544      60.1358
     383         1898            104       1.2592      59.1327
     384         1903            119       1.2498      60.4697
     385         1894            129       1.2523      58.4885
     386         1897            114       1.2747      59.8173
     387         1898            115       1.2649      58.7410
     388         1884            121       1.2629      59.3173
     389         1908            110       1.2702      59.6421
     390         1895            122       1.2386      59.4413
     391         1897            123       1.2698      58.3978
     392         1905            106       1.2700      58.6890
     393         1910            130       1.2606      60.6081
     394         1898            125       1.2429      61.0050
     395         1913            120       1.2637      59.6947
     396         1910            112       1.2721      59.5367
     397         1888            108       1.2594      60.4618
     398         1891            123       1.2715      60.0330
     399         1899            110       1.2789      59.0923
     400         1907            124       1.2733      59.5941
     401         1904            108       1.2634      60.2498
     402         1888            111       1.2546      59.5151
     403         1903            104       1.2583      60.6366
     404         1912            121       1.2561      60.9643
     405         1917            122       1.2632      59.6714
     406         1883            114       1.2726      59.8427
     407         1896            102       1.2630      59.4569
     408         1905            115       1.2774      59.6305
     409         1902            105       1.2313      58.9650
     410         1924             98       1.2673      59.7026
     411         1886            115       1.2744      58.6111
     412         1911            121       1.2416      58.6169
     413         1908            104       1.2781      59.2080
     414         1881            102       1.2616      58.7720
     415         1891            110       1.2560      59.1194
     416         1893            117       1.2662      59.1185
     417         1905            112       1.2678      59.5217
     418         1910            111       1.2687      59.5242
     419         1909            126       1.2691      59.7350
     420         1902            134       1.2576      59.2282
     421         1888            114       1.2624      60.9913
     422         1884            111       1.2564      59.8549
     423         1898            120       1.2783      58.8663
     424         1891            114       1.2741      59.7513
     425         1902            110       1.2518      58.8906
     426         1905            103       1.2556      59.3280
     427         1898            105       1.2508      59.3102
     428         1892            115       1.2524      58.7469
     429         1907            109       1.2443      59.6988
     430         1886             90       1.2563      59.3225
     431         1891            104       1.2438      58.6634
     432         1880            110       1.2675      58.6572
     433         1907            106       1.2681      60.0764
     434         1898            123       1.2593      58.9578
     435         1900            110       1.2582      59.6391
     436         1895            114       1.2588      59.5753
     437         1898            122       1.2628      60.2124
     438         1913            101       1.2719      59.2306
     439         1899            114       1.2652      59.7483
     440         1885            110       1.2721      60.2722
     441         1905            100       1.2792      60.4587
     442         1898            115       1.2661      60.2673
     443         1903            132       1.2718      60.8323
     444         1912            122       1.2718      59.7526
     445         1897            122       1.2495      60.1169
     446         1892            108       1.2538      58.9329
     447         1907            128       1.2667      59.3849
     448         1892            120       1.2719      58.8236
     449         1906            121       1.2378      60.0737
     450         1908            115       1.2683      60.7006
     451         1896            121       1.2604      60.8361
     452         1898            119       1.2562      60.4163
     453         1909            121       1.2465      60.5223
     454         1879            104       1.2672      60.1318
     455         1884            107       1.2644      60.5314
     456         1900            111       1.2674      61.0551
     457         1897            119       1.2590      61.1657
     458         1894            123       1.2450      60.3195
     459         1891            123       1.2405      60.4751
     460         1883            112       1.2510      59.2156
     461         1912            110       1.2664      59.3788
     462         1895             98       1.2506      60.8302
     463         1873            104       1.2386      60.8247
     464         1889            109       1.2640      61.3117
     465         1889            116       1.2693      59.7919
     466         1899             99       1.2447      59.1068
     467         1909            108       1.2427      59.5559
     468         1891            104       1.2810      59.7773
     469         1922            120       1.2528      59.3778
     470         1900            106       1.2487      58.6405
     471         1897            119       1.2724      59.6913
     472         1898            125       1.2661      60.5504
     473         1900            136       1.2263      59.9306
     474         1900            113       1.2285      59.4712
     475         1903            129       1.2683      59.3948
     476         1887            114       1.2474      59.5950
     477         1878            119       1.2534      59.7815
     478         1909            127       1.2596      59.5895
     479         1910            114       1.2434      60.8496
     480         1910            125       1.2627      60.5795
     481         1911            130       1.2715      60.8858
     482         1893            117       1.2594      60.5214
     483         1891            127       1.2413      60.7676
     484         1893            128       1.2376      60.8660
     485         1883            110       1.2354      61.1835
     486         1890            124       1.2703      61.3690
     487         1888            114       1.2753      59.4825
     488         1883            123       1.2636      60.9633
     489         1900            127       1.2715      61.2246
     490         1905            125       1.2565      59.4844
     491         1898            122       1.2736      60.1325
     492         1888            124       1.2557      60.8621
     493         1891            133       1.2553      61.4679
     494         1891            134       1.2562      60.6899
     495         1885            125       1.2614      60.5542
     496         1924            132       1.2759      60.6471
     497         1886            123       1.2668      61.5491
     498         1907            138       1.2632      59.8369
     499         1906            130       1.2597      59.3951
     500         1895            111       1.2653      59.3501
     501         1894            119       1.2676      58.9624
     502         1891            105       1.2568      60.2613
     503         1900            130       1.2681      60.2168
     504         1911            116       1.2214      59.6637
     505         1881            119       1.2638      59.2687
     506         1932            123       1.2527      58.8315
     507         1904            107       1.2633      59.1700
     508         1894            126       1.2561      60.3971
     509         1896            118       1.2641      60.4631
     510         1903            109       1.2602      61.2344
     511         1903            110       1.2627      60.7899
     512         1890            116       1.2517      61.6627
     513         1910            117       1.2530      60.8394
     514         1885            117       1.2601      60.8806
     515         1892            113       1.2580      61.5199
     516         1892            107       1.2622      60.5421
     517         1904            120       1.2700      60.7158
     518         1902            105       1.2294      59.9980
     519         1909            123       1.2451      58.7410
     520         1900            114       1.2645      58.6381
     521         1903            113       1.2592      58.7464
     522         1890            112       1.2647      58.7610
     523         1916            128       1.2517      59.0311
     524         1907            133       1.2596      59.1596
     525         1909            120       1.2480      58.5517
     526         1909            121       1.2716      59.7510
     527         1896            143       1.2696      59.6196
     528         1903            114       1.2659      59.6386
     529         1876            128       1.2326      59.5808
     530         1885            115       1.2743      58.3501
     531         1907            116       1.2538      59.0706
     532         1903            116       1.2404      59.7806
     533         1890            128       1.2621      60.8170
     534         1894            104       1.2651      60.2655
     535         1903            115       1.2696      60.0708
     536         1897            129       1.2706      59.0122
     537         1901            139       1.2691      59.4949
     538         1895            121       1.2650      59.4242
     539         1895            134       1.2682      59.5204
     540         1892            133       1.2614      60.0873
     541         1886            130       1.2676      59.1280
     542         1889            130       1.2542      59.2061
     543         1897            129       1.2630      58.4839
     544         1877            124       1.2430      58.4209
     545         1883            134       1.2645      58.0777
     546         1897            106       1.2624      58.3937
     547         1912            132       1.2449      59.1981
     548         1900            129       1.2679      59.7186
     549         1902            128       1.2486      61.6291
     550         1872            117       1.2634      61.6767
     551         1904            128       1.2753      62.0598
     552         1894            110       1.2476      62.2307
     553         1882            118       1.2716      61.1443
     554         1893            132       1.2504      61.6281
     555         1903            127       1.2471      62.4952
     556         1879            118       1.2555      61.5547
     557         1893            121       1.2521      61.1717
     558         1878            115       1.2440      61.6844
     559         1897            127       1.2477      61.0009
     560         1909            114       1.2590      61.1561
     561         1894            130       1.2696      59.7870
     562         1901            127       1.2368      59.9393
     563         1905            128       1.2576      59.9139
     564         1899            144       1.2560      57.6952
     565         1892            117       1.2757      57.6492
     566         1904            127       1.2489      58.1104
     567         1895            104       1.2637      58.8719
     568         1910            127       1.2765      57.5959
     569         1885            135       1.2545      58.6351
     570         1880            126       1.2771      58.3072
     571         1905            136       1.2446      58.6935
     572         1907            131       1.2508      58.6918
     573         1886            138       1.2658      57.7715
     574         1888            135       1.2605      58.0342
     575         1886            112       1.2509      57.9885
     576         1900            125       1.2700      58.5552
     577         1904            118       1.2525      60.9162
     578         1918            123       1.2481      59.1654
     579         1894            136       1.2355      58.2128
     580         1899            144       1.2624      59.5482
     581         1887            119       1.2759      60.1420
     582         1904            133       1.2763      59.8929
     583         1906            116       1.2649      58.8044
     584         1903            125       1.2601      58.1391
     585         1884            102       1.2568      59.4814
     586         1886            125       1.2442      59.9050
     587         1887             99       1.2541      61.0139
     588         1906            124       1.2584      62.3187
     589         1907            130       1.2675      62.1939
