#Frame      Mode1    Mode2    Mode3    Mode4    Mode5
     212   -0.873  -10.671   -6.931   -6.225    3.417
     213    1.120  -13.465   -6.283   -7.301    2.897
     214    4.898  -11.444   -1.569  -10.095    5.032
     215    2.824   -8.675    0.785   -7.083   10.730
     216    4.224   -9.917   -0.075   -9.116    9.236
     217    3.000  -13.758   -4.698   -7.337    4.907
     218    0.594  -12.181   -5.369   -9.869    7.664
     219    9.027  -10.244    2.868   -9.048    8.964
     220    5.698  -11.248   -1.355   -6.062    9.529
     221    5.706  -15.329   -3.213   -7.842    7.751
     222    5.322   -9.368   -5.516  -10.132    7.174
     223   16.483   -8.327   -5.110  -11.612   10.866
     224    8.262  -11.894   -7.497  -14.628   10.843
     225    3.931  -11.593    1.020  -14.055   12.109
     226    2.114  -11.911   -0.937   -6.544    7.887
     227    6.116   -8.867   -3.871  -10.201    9.346
     228    3.944  -11.294    2.017  -10.833    8.842
     229    1.122   -5.844   -6.182  -11.005   13.044
     230   -3.001   -7.327   -7.801  -11.614   15.570
     231   -1.745   -7.100   -4.592   -9.319   11.610
     232    2.695   -8.265   -2.468  -12.275   10.027
     233    3.942   -8.236   -1.842   -7.090    9.320
     234   -1.121   -9.251    4.166   -6.522   11.418
     235    0.240  -10.308    4.317   -5.693    9.227
     236    0.726   -9.409    5.514   -5.846    6.131
     237   -2.906  -11.906   -1.079   -6.745    9.862
     238    6.287  -11.292   -3.155   -3.432    7.185
     239    5.024  -14.367    4.824   -2.203    8.845
     240    5.887  -12.694    3.489   -5.414    3.643
     241    5.592  -11.366    5.455   -7.803    6.044
     242    8.130  -11.739    0.035   -9.211    0.982
     243    5.749   -9.826   -0.279   -7.386    1.834
     244    7.204  -12.817    2.202   -6.015    4.138
     245    0.305  -12.962    0.570   -7.506    6.032
     246   -1.646  -11.414    4.541   -7.093    9.672
     247   -3.142  -12.785   -0.003   -6.955   10.695
     248    4.114   -8.911   -0.835  -12.426   12.062
     249    3.337   -8.825    0.719   -7.782   11.162
     250   -0.092   -5.399   -6.811   -7.393    5.886
     251   -2.370   -1.995   -2.732  -10.267    2.629
     252   -0.644   -2.457   -3.864   -4.521    5.806
     253   -1.913   -3.432   -2.661   -7.028   10.263
     254    0.861   -6.094   -7.295   -8.175   10.172
     255    1.082   -2.894   -4.733   -7.663    8.083
     256    0.643   -1.980  -13.181   -8.335    5.304
     257   -4.389   -4.090  -14.781  -10.164    7.759
     258   -0.500   -3.674   -9.199  -11.263    8.911
     259   -2.281   -4.514   -9.546  -11.687    7.557
     260    3.618   -6.958   -8.267   -9.817    5.478
     261    8.106   -5.476   -4.389  -12.616    7.563
     262    1.863   -3.067   -7.540  -11.846    7.793
     263    4.321   -2.413  -14.478   -7.980    7.356
     264    0.503   -0.387  -15.328   -6.901    6.823
     265   -3.545   -0.555  -15.662   -7.185    6.078
     266   -0.841   -2.870  -14.445   -9.419    4.852
     267   -1.513   -4.333  -11.399   -4.469    3.746
     268   -1.106   -4.753  -12.709   -4.242    6.074
     269   -0.491   -5.470  -15.766   -8.182    7.035
     270   -0.680   -7.165   -8.201   -8.089    7.566
     271    9.022   -8.078  -10.056  -11.833    6.780
     272    8.728   -0.959  -14.115  -10.055    3.753
     273   13.137   -0.442  -18.031  -14.170    7.463
     274   10.476    0.355  -13.072  -13.260    7.194
     275   11.618   -0.477  -11.296  -14.531    8.541
     276    7.348    0.011  -13.265  -10.995    7.145
     277   -1.715   -0.788  -10.255  -11.861    1.447
     278    0.528   -0.587  -10.088  -13.532    4.794
     279    4.020    0.556   -6.683  -14.114    7.129
     280    2.700   -0.780   -6.633  -10.780    4.889
     281   -2.950   -5.471   -6.947  -16.868   10.346
     282   -1.402   -2.005   -7.189  -15.381    7.940
     283    4.175   -1.401   -9.119  -14.910    6.594
     284    0.221    0.718   -2.035  -14.543    5.715
     285    1.209   -1.954   -2.967  -13.046   10.278
     286   -1.309   -1.725    4.852  -11.234    9.755
     287   -0.329    1.655   -2.191  -11.077    4.698
     288   -6.033    0.409   -2.067   -9.357    8.740
     289   -2.225    2.518   -3.472  -10.200    3.362
     290    1.481   -2.000   -7.137   -8.823    4.060
     291   -1.507   -4.951   -3.884  -10.967    7.066
     292    4.868   -2.161   -3.904   -9.369    9.031
