#Frame      Mode1    Mode2    Mode3    Mode4    Mode5
     178    5.358   -1.549  -13.049   -6.562   -5.806
     179    3.463   -3.601  -11.059   -7.619   -3.709
     180    2.881   -6.101  -11.346   -7.181   -6.145
     181    0.092   -5.770   -9.605   -4.607   -5.013
     182    0.368   -6.850   -9.674    0.437   -6.566
     183   -0.174   -2.781  -10.856   -2.042   -7.041
     184    0.173   -4.537  -12.757   -5.463   -4.965
     185    0.584   -4.728   -9.794   -4.762   -5.976
     186   -1.047   -2.787  -12.576   -7.629   -5.330
     187    4.345   -8.002  -12.773   -8.125   -1.675
     188    1.009   -8.686  -14.842   -7.459   -0.661
     189    6.864   -1.153  -11.518   -6.033   -0.384
     190    3.087   -6.382  -13.505   -7.470   -0.256
     191    3.069   -2.499  -14.616   -8.483   -0.237
     192    3.080   -5.563  -12.906   -7.798   -5.024
     193   -2.792   -5.492  -14.545   -8.037   -0.742
     194    0.185   -7.489  -14.581   -5.818   -3.360
     195    3.219   -6.738  -15.529   -8.183    2.634
     196    2.165   -6.269  -16.633   -9.169    0.561
     197    3.318   -1.878  -18.832   -7.247    2.281
     198   -0.326   -5.003  -17.076   -7.732   -2.385
     199    2.339   -2.344  -13.452   -5.667   -1.922
     200    2.363   -5.124  -12.619   -3.099   -3.191
     201    3.088   -8.030  -12.610   -8.217   -1.761
     202    2.229   -2.559  -15.609   -8.110    0.517
     203    4.758   -1.613  -15.788   -4.663    2.656
     204    6.019    4.640  -14.255    2.738    0.136
     205    4.163   -0.339  -17.224   -3.297   -3.193
     206    3.577   -1.195  -15.922   -5.382   -2.883
     207    1.613   -4.145  -16.044   -5.731   -4.075
     208   -2.030   -4.311  -16.890   -7.042   -5.696
     209    0.221   -3.488  -15.612   -2.394   -5.511
     210    5.323   -2.291  -12.107   -7.477   -8.604
     211   -0.053   -4.193  -14.038   -0.382   -8.766
     212    0.142   -7.317  -15.483   -0.239   -1.684
     213    5.954    3.601  -15.569    1.634   -2.624
     214    2.785   -0.546  -15.629   -0.564   -5.467
